Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
404;27893,66;48835,23;5795,461;-5101,959;27893,66;48835,23
405;27383,56;28123,2;-1488,713;4028,377;27383,56;28123,2
406;27746,71;28033,34;2641,806;910,0346;27746,71;28033,34
407;27309,22;27897,79;6865,763;-4006,159;27309,22;27897,79
408;48909,7;49797,12;2579,915;81,31519;48909,7;49797,12
409;28216,25;27447,05;3747,798;-767,9042;28216,25;27447,05
410;27841,02;28002,55;784,3339;1685,66;27841,02;28002,55
411;49041,61;28129,81;345,8003;1788,965;49041,61;28129,81
412;28434,76;48944,46;-13293,42;11746,8;28434,76;48944,46
413;26540,67;49855,46;-13392,94;12715,75;26540,67;49855,46
414;28480,21;28397,57;9137,56;-6531,652;28480,21;28397,57
415;27394,95;48888,6;6199,25;-2625,826;27394,95;48888,6
416;28365,28;28186,2;7538,461;-4001,944;28365,28;28186,2
417;49893,76;28602,27;6158,811;-2218,063;49893,76;28602,27
418;27500,56;28431,71;3314,169;1357,567;27500,56;28431,71
419;29294,09;28325,84;6566,523;-2009,97;29294,09;28325,84
420;29098,69;49354,21;4033,229;1239,659;29098,69;49354,21
421;26568,78;28005,68;1343,982;1524,132;26568,78;28005,68
422;28014,35;28104,94;65,01498;2598,073;28014,35;28104,94
423;28082;28546,81;2452,819;2549,525;28082;28546,81
424;48707,98;28258,28;6598,031;-2368,926;48707,98;28258,28
425;27175,68;28986,19;2376,116;2578,836;27175,68;28986,19
426;28212,26;28766,96;9447,305;-5321,736;28212,26;28766,96
427;27670,31;28492,45;-411,0214;4339,084;27670,31;28492,45
428;48713,86;28776,51;4576,536;-1348,634;48713,86;28776,51
429;27486,86;28679,36;3577,772;88,44299;27486,86;28679,36
430;48633,85;28152,5;5565,561;-1896,831;48633,85;28152,5
431;28377,84;49852,63;355,6032;4099,354;28377,84;49852,63
432;49984,59;49354,57;1098,109;2458,526;49984,59;49354,57
433;28972,11;50024,57;-2208,166;4257,443;28972,11;50024,57
434;29899,66;49833,33;1270,424;1660,723;29899,66;49833,33
435;29125,06;29148,92;-1605,447;6069,537;29125,06;29148,92
436;28355,31;50184,74;2897,935;2921,745;28355,31;50184,74
437;49960,97;44938,6;805,1629;3342,69;49960,97;44938,6
438;50034,25;50425,38;-6420,078;7558,681;50034,25;50425,38
439;29651,43;70891,42;-8819,416;9220,11;29651,43;70891,42
440;29088,6;29727,74;-8117,659;10375,31;29088,6;29727,74
441;49929,63;49276,48;-3680,308;6061,357;49929,63;49276,48
442;49797,92;49321,34;-4054,718;6510,719;49797,92;49321,34
443;49911;70929,05;-6477,777;9708,407;49911;70929,05
444;49882,97;50017,96;-9271,458;9686,73;49882,97;50017,96
445;50119,96;50141,65;-10814,38;9497,62;50119,96;50141,65
446;28216,2;51453,31;-6007,768;8373,72;28216,2;51453,31
447;28885,11;48915,02;-11531,14;9564,957;28885,11;48915,02
448;27809,95;48914,2;-8995,843;9118,973;27809,95;48914,2
449;28658,36;29338,87;-1975,685;4592,532;28658,36;29338,87
450;29683,61;29826,71;469,2484;2959,883;29683,61;29826,71
451;49969,79;29086,02;-3543,546;7002,483;49969,79;29086,02
452;30420,62;50552,3;-14465,26;14128,24;30420,62;50552,3
453;29473,21;48994,56;-9802,859;9718,387;29473,21;48994,56
454;50159,15;29112,81;3515,543;743,7465;50159,15;29112,81
455;29623,98;28075,04;2337,637;912,5435;29623,98;28075,04
456;29016,68;30157,76;607,7222;1956,717;29016,68;30157,76
457;50405,41;48839,88;-3589,375;4767,807;50405,41;48839,88
458;29927,45;30059,25;-745,1143;2629,596;29927,45;30059,25
459;28056,79;49885,95;-5335,108;5119,151;28056,79;49885,95
460;29519,15;49039,68;-710,7115;1592,352;29519,15;49039,68
461;29763,01;48611,4;-3444,691;4532,226;29763,01;48611,4
462;49909,28;48872,55;-3518,821;4914,876;49909,28;48872,55
463;29487,87;49255,6;1859,645;417,264;29487,87;49255,6
464;29151,69;49829,16;3290,976;181,1307;29151,69;49829,16
465;50011,34;49932,14;1063,694;1755,38;50011,34;49932,14
466;48627,69;49023,02;-1314,294;4866,263;48627,69;49023,02
467;48733,04;49840,18;9418,088;-9198,548;48733,04;49840,18
468;48728,54;49785,55;11153,81;-9620,767;48728,54;49785,55
469;48610,9;26708,15;13618,82;-12471,52;48610,9;26708,15
470;48725,36;26786,54;11769,81;-11421,73;48725,36;26786,54
471;48770,13;49103,03;11890,53;-11434,47;48770,13;49103,03
472;48782,2;49160,67;6041,241;-5628,896;48782,2;49160,67
473;27901,3;26946,63;1436,599;-291,8569;27901,3;26946,63
474;48603,96;27665,87;1422,039;-1087,918;48603,96;27665,87
475;48660,08;28430,84;3094,017;-2365,153;48660,08;28430,84
476;48699,96;28912,64;3842,628;-2067,025;48699,96;28912,64
477;29676,79;27678,77;4553,021;-2404,612;29676,79;27678,77
478;29354,65;28199,85;4721,665;-1838,142;29354,65;28199,85
479;26645,97;27824,44;5215,093;-1316,568;26645,97;27824,44
480;27305,4;28808,36;4102,188;-1674,905;27305,4;28808,36
481;27166,35;28512,58;2947,437;108,2977;27166,35;28512,58
482;48723,56;27895,02;5616,963;-3728,008;48723,56;27895,02
483;48711,96;27538,11;6893,173;-4424,061;48711,96;27538,11
